"edad","reclamaciones","cobertura","salud","credito","cambio_aseguradora","actividad","conduccion","ubicacion","dependientes","ingreso","experiencia","pagos_puntuales","pagos_primas","clase1","clase2"
31,3,1,3,814,0,4,1,3,0,31351,25,42.48,9177.3,2,3
34,2,3,2,684,1,3,1,2,0,34070,27,82.07,17373.94,2,3
60,1,3,1,517,2,2,2,3,5,34139,28,27.3,17991.41,2,3
56,0,2,2,699,2,2,2,1,5,31755,31,55.25,3694.04,3,1
70,3,3,3,586,1,2,2,3,3,46477,26,13.77,2911.35,2,3
29,1,1,1,625,1,2,0,3,1,52790,0,57.81,16151.41,2,3
32,2,3,1,741,2,3,2,1,1,29970,28,48.08,12644.75,3,1
49,1,2,2,549,0,2,0,1,1,54203,39,61.28,13592.47,2,2
59,2,3,1,561,0,2,0,2,1,46111,38,60.06,9790.02,2,1
62,3,2,1,656,0,3,2,2,0,16780,15,70.36,18306.09,2,3
24,2,2,1,521,2,4,0,1,2,26608,14,75.99,1187.29,3,1
26,1,3,1,647,1,3,2,2,2,48250,1,92.51,7515.57,3,1
58,1,1,2,494,2,1,2,1,3,38098,19,16.93,9738.85,1,1
27,2,3,3,573,1,3,2,2,4,70054,3,5.02,15509.82,3,1
40,1,2,2,846,0,1,0,2,2,42915,24,83.95,9768.93,2,1
44,1,2,3,707,0,3,0,2,4,15748,16,72.4,348.6,1,1
77,1,2,1,635,2,1,1,1,4,76875,18,20.63,10270.8,1,1
70,0,2,3,534,2,3,2,2,1,36332,7,26.1,17167.54,2,2
24,0,1,1,729,0,3,2,2,5,41331,15,81.46,1362.31,2,2
70,2,2,1,543,1,2,1,1,3,44438,5,47.39,4013.37,2,1
44,2,2,1,599,0,3,0,1,2,41730,13,70.54,12907.29,2,1
49,1,1,2,543,2,2,0,1,2,48486,2,53.93,12890.55,2,1
55,3,2,2,586,0,4,1,1,2,54242,11,7.23,13831.57,2,1
42,3,2,2,732,0,3,1,1,5,16733,29,42.25,15864.69,2,1
51,0,2,3,587,0,3,1,2,3,61172,2,14.17,14019.12,3,2
46,1,3,2,799,2,4,1,3,1,39974,36,36.45,5505.71,3,3
22,2,2,3,673,2,2,0,1,2,45115,7,35.38,510.92,1,1
25,0,3,3,649,1,1,2,2,0,45911,27,30.31,11192.31,2,3
29,0,3,2,519,0,1,0,2,0,21420,13,43.9,12587.12,2,1
80,3,3,3,684,0,1,2,3,2,34758,32,53.85,14833.4,2,1
30,3,3,3,641,1,4,0,2,0,38068,33,59.62,14222.29,3,1
35,1,1,1,715,2,1,1,3,1,42280,30,14.93,8528.96,1,3
50,0,2,2,553,0,3,1,2,2,36035,30,27.4,18989.99,3,3
74,3,3,1,818,2,3,1,3,4,32687,18,2.74,2661.36,1,2
44,2,3,2,686,1,2,1,3,0,51960,17,31.05,356.02,2,3
42,1,1,2,556,0,3,2,2,3,48255,35,11.61,9816.29,2,3
55,1,3,3,656,0,2,1,3,4,33277,15,87.24,5687.36,2,3
38,1,2,2,660,1,3,0,3,4,67800,11,0.55,18047.73,3,2
32,0,3,2,682,0,1,2,3,1,25079,35,45.86,1815.59,2,3
58,1,1,2,509,0,2,0,2,4,46167,20,59.12,4177.17,1,2
64,1,3,1,735,1,2,2,2,1,22172,18,73.5,6587.14,2,1
43,1,3,3,556,0,3,2,3,1,47649,0,97.65,7523.74,2,3
77,1,1,2,598,0,2,0,3,2,10190,35,87.11,3715.63,2,1
48,3,1,2,702,2,1,2,1,3,15748,5,93.62,14991.59,2,1
33,3,1,3,608,1,3,2,3,3,45216,10,99.51,17799.62,2,2
69,1,2,1,633,2,3,2,2,2,44546,22,99.25,4718.76,3,1
47,1,1,3,565,0,3,1,1,4,52194,37,42.21,15163.62,2,1
23,1,2,3,567,1,1,2,2,4,49275,34,18.58,13487.37,1,1
60,0,2,3,710,0,3,2,1,5,55354,28,84.65,16426.06,2,1
25,3,1,2,748,0,4,2,1,4,44284,32,38.79,4501.44,2,1
39,0,2,3,534,1,4,2,3,2,13882,3,4.58,6382.5,3,2
39,3,2,3,579,1,2,1,1,4,36166,21,16.27,10468.47,1,1
56,1,2,3,585,1,3,1,1,4,51196,14,29.18,1954.49,2,1
48,0,3,1,480,1,4,1,2,5,43274,23,23.15,4611.62,2,1
65,1,2,1,628,0,2,0,3,1,28088,9,68.47,3298.72,1,1
34,3,1,1,674,0,1,2,1,5,37405,38,77.72,15203.45,2,1
71,2,1,3,645,2,2,0,2,0,23029,27,35.93,8947.29,1,2
67,0,1,2,618,1,1,2,3,2,46318,22,61.98,4773.65,2,2
66,3,2,2,714,0,2,0,2,4,21072,4,23.37,18818.32,1,2
51,2,2,1,924,2,2,2,1,3,31891,15,44.48,1769.16,2,1
21,1,2,2,418,2,3,0,3,2,29418,24,32.13,1792.46,2,3
30,1,2,2,474,0,1,2,3,0,99742,10,74.57,4092.92,2,3
22,3,2,3,677,1,4,2,3,3,71763,26,85.48,11233.24,2,2
71,1,1,2,798,2,4,0,2,3,26742,5,65.6,14929.7,3,2
80,0,2,1,494,0,2,1,3,2,39882,36,89.39,19065.3,2,3
68,1,3,1,640,1,2,2,3,4,14250,29,34.3,14565.42,2,3
42,1,3,2,774,1,1,0,3,1,75358,24,76.66,6513.42,2,1
69,1,3,3,739,2,4,2,1,0,49547,5,20.25,1653.34,3,1
39,3,1,2,661,1,1,1,1,5,38535,30,7,3003.87,1,1
42,0,1,3,654,0,1,0,2,3,42092,4,76.09,10978.98,2,1
49,3,1,1,711,0,3,1,2,4,43136,38,45.38,14563.8,2,1
63,1,1,3,628,2,3,0,2,5,11877,9,43.75,9206.98,3,1
42,0,2,2,815,0,1,0,1,3,53630,36,21.96,19942.93,2,3
40,2,2,1,594,0,2,2,1,0,46045,12,56.89,11412.67,2,1
52,1,3,2,582,1,4,2,1,0,25541,20,14.27,3042.2,2,1
57,1,2,2,745,1,4,2,2,4,33906,20,29.58,3300.47,3,3
65,2,1,3,691,0,1,1,1,3,39625,11,73.28,9865.04,2,2
47,3,2,3,780,1,3,2,2,4,32340,4,62.55,7914.45,2,1
29,2,2,3,438,0,4,0,3,1,38606,21,90.98,18307.54,2,2
48,1,1,1,636,1,4,1,1,2,36499,21,89.75,17694.75,2,2
74,3,2,1,609,0,1,1,1,5,35850,15,88.9,1867.44,2,1
63,1,3,3,613,2,4,1,3,0,37509,35,21.33,6982.9,3,1
47,1,3,1,753,0,4,1,3,4,29290,31,12.22,17662.55,2,3
52,1,1,3,510,1,1,2,1,0,9314,14,9.92,12340.73,2,2
31,3,3,2,663,1,4,0,2,3,43567,22,5.76,19383.82,3,1
46,1,1,2,764,0,4,2,1,1,38495,5,61.03,10737.48,2,1
49,1,2,3,720,0,4,2,2,3,48228,1,18.13,17803.47,3,2
24,1,1,2,468,2,2,0,2,1,26692,23,85.5,4065.96,2,1
20,3,1,3,599,2,3,0,2,1,52713,4,42.18,6700.11,3,3
40,0,1,3,552,2,2,2,3,2,27867,23,17.75,10258.28,2,3
71,0,2,3,557,1,1,0,3,4,27767,35,42.37,12837.26,1,3
75,0,1,3,563,1,2,1,3,0,47335,12,58.81,9480.66,2,2
32,3,1,3,722,0,1,2,1,1,35972,8,45.01,2105.5,2,1
38,0,2,3,546,1,4,2,1,3,26646,19,24.29,5229.6,3,1
54,1,3,1,730,1,2,1,3,1,54261,35,51.3,4635.71,2,1
25,1,3,2,653,0,3,0,2,0,54563,33,65.93,8644.57,2,1
68,0,1,1,530,1,4,0,1,4,38054,24,38.4,12129.94,2,1
27,0,2,3,675,2,1,2,1,4,47539,34,54.27,9009.97,1,1
67,1,2,2,764,1,3,2,1,0,50586,3,44.92,19042,2,1
59,1,3,2,686,0,4,0,3,1,34517,15,74.77,5478.22,2,3
61,1,3,3,747,0,1,0,3,0,35381,11,30.9,7120.47,2,3
51,2,1,1,688,2,2,1,1,1,57619,2,42.23,6554.09,2,3
27,0,2,1,663,0,1,2,2,1,43972,34,87.29,10429.37,2,1
39,1,2,1,436,1,1,0,3,4,50678,18,59.91,16040.8,3,3
80,1,1,3,751,1,1,1,2,3,41008,31,17.9,11146.84,1,2
29,1,1,2,494,2,1,2,2,1,53297,32,31.48,15452.6,1,1
37,1,2,2,513,2,1,1,3,0,55397,33,28.28,18038.8,3,3
63,3,3,3,698,1,3,2,1,4,46810,19,13.73,12862.2,3,1
34,1,1,2,692,0,4,2,2,1,55670,9,64.68,8393.53,2,2
79,2,2,3,683,1,3,0,3,0,58766,37,50.74,4005.44,2,2
63,0,2,2,818,0,1,1,1,0,25006,7,84.51,1618.66,2,2
71,1,2,2,746,1,4,2,2,3,34179,20,81.07,6896.88,3,3
52,0,3,2,590,2,4,2,2,2,48964,0,99.38,13675.88,3,1
57,2,1,3,541,2,2,2,2,4,18611,19,60.96,3741.65,3,1
63,0,1,1,803,2,2,1,3,0,25670,21,97.56,17164.81,1,1
68,3,3,3,623,2,2,0,1,3,62661,40,62.54,15975.68,3,1
47,1,3,2,648,0,2,2,2,3,69218,14,59.84,19094.83,2,3
32,3,3,1,772,1,4,1,3,3,52185,32,59.18,2366.09,2,3
41,0,3,1,610,1,2,2,2,5,31934,10,31.13,15680.17,2,3
66,2,3,1,608,2,4,0,1,1,67780,15,70.17,1578.1,3,1
40,1,1,3,573,0,3,0,1,3,30466,32,38.76,12843.43,3,2
60,2,1,1,725,0,1,0,3,2,31456,13,95.51,8438.23,1,1
24,2,2,3,564,0,4,0,1,5,29319,12,72.64,6542.79,2,3
46,0,2,1,435,1,2,2,1,0,24389,30,94.73,10355.61,2,1
32,2,3,2,543,2,4,1,1,1,37563,39,54.25,8999.3,3,1
40,3,3,2,638,1,4,1,1,2,52606,30,86.77,7343.97,3,1
43,2,3,3,556,0,3,0,3,2,33930,2,29.78,9854.72,2,3
55,1,3,3,678,2,4,1,3,5,48360,24,50.51,2822.59,3,3
63,1,2,1,681,2,4,2,3,1,25012,20,93.8,12660.33,3,3
80,3,3,2,489,2,1,2,3,0,40399,28,17.87,17044.46,2,1
49,1,3,3,624,2,3,1,2,0,44376,9,43.74,17729.47,3,1
24,0,1,3,740,0,2,2,1,5,26306,5,52.88,17040.77,2,2
44,3,1,2,689,0,4,0,2,5,31502,28,86.66,19114.2,2,2
59,2,3,1,661,1,3,2,2,3,16650,19,62.22,15792.59,2,1
22,0,1,2,471,2,1,1,1,2,44091,9,55.3,12647.75,2,1
23,1,3,2,664,1,2,1,3,1,11066,19,87.08,12683.28,2,3
33,1,3,2,789,1,4,0,1,2,43316,38,84.04,12572.63,2,1
41,0,1,2,775,0,1,0,2,4,25227,7,84.38,14518.67,2,1
49,2,1,2,603,0,1,1,3,1,33882,21,34.76,922.34,2,3
38,1,3,3,741,1,3,0,1,1,29285,4,40.89,10183.57,3,1
72,2,3,2,738,1,4,2,1,5,45849,14,33.95,17844.9,2,1
28,1,1,1,791,2,2,2,2,1,32787,30,69.16,13607.1,1,1
53,3,2,3,732,2,4,1,2,5,54803,15,5.12,18678.74,3,1
61,2,1,2,509,1,1,2,1,4,38382,7,56.91,15266.7,2,1
63,2,3,1,726,1,2,2,3,3,35115,31,6.69,9469.25,2,3
77,3,3,1,445,1,1,1,3,2,43016,14,8.05,2224.41,2,3
78,3,3,3,762,0,2,1,3,2,51851,18,84.89,4641.52,2,3
36,1,1,2,778,1,1,1,3,2,49087,10,32.18,13236.37,1,2
42,1,3,2,675,0,3,2,1,3,23999,35,47.33,18764.97,3,1
56,3,1,3,456,2,3,2,1,4,12631,27,2.64,7248.85,3,1
71,2,1,3,757,2,2,1,2,2,50537,35,77.84,13793.44,1,2
43,1,1,3,742,2,3,0,3,0,63634,3,2,17791.22,3,2
26,3,3,3,780,2,3,1,1,5,35963,11,91.94,15131.31,3,1
24,2,3,1,634,2,4,0,2,4,12375,30,13.18,17945.98,2,3
51,0,3,1,645,1,3,1,3,1,22289,12,90.55,16289.94,2,3
65,3,3,1,785,1,2,2,3,5,38523,7,96.89,4802.96,2,1
30,3,2,2,709,2,1,2,1,0,41878,35,25.28,19873.26,1,1
36,2,3,1,542,0,2,1,3,0,57952,3,9.55,12425.71,2,3
73,1,3,3,713,2,3,2,1,2,46018,26,66.21,8255.01,3,1
69,3,2,3,692,2,2,2,3,0,33278,17,0.63,11861.22,1,2
64,0,2,1,719,1,4,1,2,5,51014,38,86.44,10840.73,2,1
56,3,2,2,702,1,2,0,1,0,35035,14,91.58,4385.89,2,1
21,3,1,1,702,1,3,2,3,1,51504,24,5.07,7607.36,1,3
18,3,1,3,724,0,4,0,2,0,34101,2,6.64,2696.56,2,3
57,2,2,2,621,2,3,0,2,4,45867,30,85.24,17216.48,3,3
47,0,1,2,794,0,2,1,3,1,37431,25,15.88,10610.8,2,3
47,2,1,3,560,1,2,1,1,5,20979,18,75.16,7918.81,2,1
69,3,2,3,702,2,1,0,3,1,43770,28,72.55,885.85,1,2
42,1,2,2,449,0,1,2,2,4,33434,39,36.59,6692.16,2,3
33,1,3,2,658,0,4,1,2,2,12074,35,64.2,12678.99,2,1
41,0,3,1,646,1,4,1,3,4,46348,27,66.76,8.34,3,3
71,3,2,2,599,1,4,1,1,5,41597,1,26.5,9187.06,2,2
28,2,1,2,493,1,2,0,2,5,40548,15,17.9,7920.2,2,3
65,0,1,2,455,0,2,0,1,1,25908,19,63.13,240.73,2,1
37,0,3,3,636,1,4,0,2,5,46016,1,24.25,18010.94,3,1
57,0,2,1,471,1,2,2,1,2,41258,7,63.59,591.93,2,1
20,0,2,1,639,0,1,1,1,0,25825,24,57.7,7582.91,2,1
46,2,2,2,549,2,3,0,2,1,35226,25,20.34,209.33,3,3
53,3,3,3,751,0,4,0,2,5,58665,33,29.58,13260.67,2,2
69,3,1,2,726,2,1,0,1,3,47606,20,83.39,9580.8,2,1
61,1,3,3,594,0,2,0,2,2,60162,4,77.35,19644.42,2,3
39,2,3,1,745,1,3,2,2,5,36885,25,91.9,10318.54,3,1
66,3,2,2,854,1,4,1,2,5,21552,31,46.04,19938.9,2,1
59,3,1,2,723,2,1,1,3,3,57472,36,45.2,5436.02,1,3
76,3,1,1,696,0,3,2,1,4,57383,7,74.91,1222.61,2,1
37,0,3,2,585,1,4,2,3,5,61229,38,58.17,15940.14,3,2
28,2,2,1,565,2,3,0,3,0,33686,2,59.44,13326.5,3,2
74,1,3,2,640,0,1,0,1,0,46082,14,26.45,12647.47,2,1
72,3,3,1,726,1,3,1,3,2,18225,29,81.06,3025.9,2,3
25,1,2,1,558,1,1,1,1,1,47482,30,97.76,12609.75,2,1
63,1,1,3,568,2,4,1,2,5,22115,31,18.5,11515.67,1,3
38,0,2,1,600,1,2,1,1,5,52594,29,96.77,5753.65,2,1
62,2,2,3,581,1,4,0,2,1,55496,27,35.22,2539.06,2,2
19,3,3,1,637,0,3,1,2,5,41099,33,13.26,5551.58,2,1
60,2,3,1,532,0,2,0,3,4,14148,37,2.58,15254.69,2,3
30,2,3,3,499,2,2,0,3,2,45395,9,80.5,10492.53,3,3
63,1,2,2,795,2,4,0,1,3,54930,0,88.22,4823.98,3,1
23,3,1,1,709,0,3,0,3,4,44818,26,51.57,7106.48,2,3
74,3,3,3,685,0,4,1,1,3,50569,22,75.85,6411.71,3,1
25,1,1,2,488,1,2,2,3,5,47801,22,72.93,13001.52,2,3
61,1,3,3,370,0,2,2,2,4,36661,5,71.5,1585.09,2,1
49,2,2,3,745,1,4,0,1,3,40365,18,37.69,5973.14,2,1
75,0,3,2,719,0,4,2,3,1,45114,26,44.92,16395.05,2,3
53,2,3,1,705,1,1,0,3,3,20005,28,79.38,5733.96,2,1
62,0,2,3,723,1,2,0,1,4,40235,37,80.32,18399.31,3,2
78,2,2,2,739,1,2,0,3,4,28757,1,10.1,15689.73,1,2
31,0,2,2,655,2,1,0,2,5,2365,32,8.18,3548.2,1,1
70,1,2,2,491,2,2,2,3,4,50429,23,52.27,595.68,2,3
33,3,2,2,635,2,3,2,3,3,47108,8,74.65,11773,3,3
40,3,2,1,809,1,4,0,1,5,55161,17,10.65,10527.81,1,1
78,2,3,2,592,1,4,0,2,4,47696,9,78.54,5562.81,3,1
50,2,2,1,542,0,2,2,2,0,55441,31,50.96,5382.2,2,1
57,2,3,3,461,1,2,2,2,3,39349,8,26.27,5280.44,3,1
57,2,1,1,682,1,4,2,2,3,49062,17,10.75,16805.23,3,3
27,2,1,3,722,0,3,1,2,4,61885,18,82.08,4362.57,2,1
42,0,3,3,739,1,1,2,3,3,24639,37,91.9,10033,1,3
25,3,3,3,710,2,4,2,1,2,43353,1,24.76,15610.18,3,1
35,1,1,1,751,2,3,2,1,0,27269,31,80.16,7276.39,1,1
78,1,1,1,782,0,4,2,3,5,52998,23,10.76,6017.43,3,3
70,2,3,3,604,0,2,1,1,1,62275,32,65.12,17750.92,3,1
26,3,3,2,570,1,4,0,2,1,20070,29,64.5,18029.66,3,1
24,3,1,1,728,1,2,1,1,4,45575,11,65,3008.9,2,1
24,1,2,1,831,1,3,0,2,5,42582,2,41.21,12224.89,2,3
75,1,2,2,660,0,3,0,3,1,60069,21,9.49,3873.45,2,3
78,1,2,2,739,2,2,0,2,1,41879,7,66.59,6030.71,1,2
77,2,3,3,749,0,3,0,2,4,56132,19,18.43,3698.31,2,3
27,1,3,3,604,0,2,1,2,4,42925,18,85.71,3816.9,2,1
41,1,1,1,665,0,2,0,2,0,60413,38,54.41,11545.42,1,2
80,2,2,3,694,2,2,0,3,2,27823,14,72.23,6780.9,1,2
71,1,2,1,720,1,4,0,1,2,9986,10,12.4,13497.36,1,3
40,1,3,3,606,1,4,2,3,3,29552,33,7.01,4135.82,2,1
43,3,1,3,528,0,2,1,3,2,75898,3,29.77,17338.94,2,2
60,0,3,3,717,2,4,0,3,4,37974,16,50.62,7389.39,3,3
50,2,1,3,499,2,3,1,3,2,51825,8,8.19,2310.21,2,3
74,2,2,3,603,0,1,0,3,4,32445,8,16.36,9496.3,2,3
78,3,2,2,751,1,1,2,1,5,30639,31,65.28,17162.88,2,1
46,3,2,2,602,0,2,2,2,1,15175,8,91.72,3366.86,2,3
68,1,3,3,670,1,3,0,1,1,52681,30,2.4,3574.19,2,3
27,1,3,3,565,2,4,1,2,2,56843,3,18.99,10544.13,3,2
70,2,3,1,679,2,1,0,2,0,57632,15,34.1,19363.22,1,2
71,0,3,1,723,0,1,2,3,5,39939,25,38.31,9200.72,2,3
30,0,1,3,765,2,1,2,1,0,47278,31,99.63,13800.15,1,1
60,2,3,1,709,0,1,0,3,5,41159,0,49.46,1468.97,2,1
28,3,1,1,638,1,2,1,3,2,42289,19,2.14,7608.29,1,3
42,0,3,2,562,2,3,1,1,5,48794,10,85.55,11957.07,3,1
69,0,2,3,623,1,1,0,3,2,23240,13,35.09,6115.1,3,2
43,1,3,1,722,2,1,1,3,1,42589,7,78.89,18999.67,1,2
24,1,2,1,824,0,2,1,2,4,33117,36,53.41,13417.11,2,1
42,3,1,2,676,2,1,0,2,3,31335,34,11.99,8031.02,1,1
40,0,2,3,598,2,2,2,2,5,66933,2,16.89,11931.91,3,1
43,0,2,1,535,0,3,2,2,2,47930,37,51.47,14560.17,2,3
49,0,3,1,616,2,1,1,1,3,33928,40,65.83,14652.98,3,1
37,0,2,2,808,1,1,0,3,3,34533,28,87.45,10808.47,2,1
78,2,3,2,504,2,3,2,3,1,44287,22,7.19,1671.73,2,3
41,2,1,3,549,0,2,2,1,4,50847,37,21.94,15448.33,2,1
74,1,3,2,681,0,1,0,2,5,63829,40,63.05,17742.71,2,1
26,3,1,1,340,0,4,2,1,2,48129,19,2.83,13762.77,2,1
58,1,3,1,789,0,3,1,3,2,42159,10,82.37,11940.15,2,3
54,0,1,3,624,2,4,2,3,1,34179,5,93.44,6967.2,3,1
40,0,2,3,627,2,2,2,2,3,34887,30,22.41,12102.87,2,1
31,3,3,3,707,1,4,0,3,1,48917,11,21.79,7793.27,3,3
63,3,1,2,925,1,2,2,2,3,57912,11,24.25,19789.15,1,2
23,3,2,1,550,2,4,1,2,1,32452,22,49.38,2150.29,3,1
44,0,3,3,583,2,3,2,2,3,41684,16,20.02,5982.51,3,1
18,1,2,3,706,1,2,0,2,2,20567,27,75.22,19911.66,1,1
43,1,1,2,492,0,1,2,3,5,38031,20,12.19,14521.21,2,3
59,1,1,3,646,1,3,2,3,0,58254,29,41.63,6513.83,3,2
66,1,2,3,672,0,2,0,1,4,29862,29,80.71,19598.96,3,2
75,0,2,1,675,2,3,1,3,1,42405,14,76.36,3060.07,2,3
34,0,3,1,655,2,4,1,2,0,51490,9,33.47,5751.89,2,3
46,2,1,3,720,0,1,2,1,5,37412,29,17.53,14497.07,1,1
43,1,3,2,612,1,4,2,1,3,29987,4,14.55,167.74,2,3
44,1,1,1,673,1,1,0,3,5,25553,15,22.45,12754.23,1,2
38,2,3,3,744,2,1,1,1,0,51951,29,79.49,5542.4,3,1
24,1,2,3,708,2,3,1,1,2,48777,40,97.9,12476.19,3,1
77,1,1,1,672,2,1,2,3,5,69817,27,26.39,19825.58,1,3
70,1,2,3,660,0,4,1,3,2,62092,2,40.06,17976.04,3,2
43,3,2,2,891,2,4,1,1,0,35776,15,79.27,10170.73,1,1
58,3,3,2,624,1,4,2,3,2,52080,17,59.74,7409.95,3,1
37,3,1,2,626,2,2,2,2,5,30588,27,46.52,6588,3,1
23,3,3,1,674,0,1,0,2,1,47203,1,80.13,4291.61,2,3
67,3,1,3,747,1,2,1,1,3,22279,39,0.56,13917.98,1,1
47,2,2,1,649,1,3,1,1,5,49777,15,47.03,4546.82,1,1
48,0,2,2,654,2,1,2,2,1,6305,12,94.87,14025.23,1,1
46,0,3,1,573,0,1,1,1,3,19996,11,94.81,5185.01,2,1
34,3,1,3,789,2,4,1,1,1,71778,0,83.17,7453.14,3,2
54,1,2,1,609,2,1,1,1,5,35792,16,52.33,16547.66,3,1
74,2,3,1,681,1,1,0,3,0,39588,23,23.51,18187.99,1,2
37,2,3,2,770,1,1,0,1,0,30486,7,89.28,1516.47,2,1
52,1,3,2,485,0,4,1,1,3,32695,16,94.25,12533.78,2,1
42,0,1,2,785,1,1,2,2,0,26487,3,3.58,418.75,1,1
63,2,2,1,706,2,4,0,1,5,51151,34,45.29,10789.58,3,1
50,0,2,2,625,1,1,1,2,4,37222,39,39.28,4598.2,1,3
19,3,2,3,714,0,1,0,3,0,26968,5,6.33,4218.18,2,3
21,1,1,3,592,2,1,0,1,4,21692,7,48.01,16489.5,1,1
27,3,1,3,649,1,4,2,2,4,46791,32,75.14,14060.16,2,2
50,0,2,3,568,0,3,2,1,1,59785,5,64.6,13669.88,2,1
22,0,2,1,698,1,3,0,2,2,58657,22,91.21,6734.25,2,1
70,0,1,1,624,2,3,2,1,0,51964,4,74.72,4718.87,2,1
42,0,1,3,627,1,1,2,3,1,7125,12,89.2,17344.37,1,1
25,3,1,1,790,0,2,1,3,4,48057,5,31.71,9878.17,2,3
72,0,3,3,798,1,2,0,2,5,35092,31,70.87,19864.66,2,1
42,3,1,3,580,1,3,2,2,5,21141,24,87.76,4559.15,3,1
38,2,1,1,736,1,4,0,1,2,27338,19,60.91,17936.74,2,2
62,2,3,1,699,1,2,1,3,3,43629,40,11.67,19117.8,1,2
35,1,2,2,724,2,4,0,1,0,53234,8,45.56,11270.68,3,1
59,3,2,3,713,0,3,0,3,0,77116,38,28.33,10489.95,2,2
48,2,1,1,591,1,4,0,1,1,55338,17,92.02,3732.77,3,1
23,2,1,2,650,2,4,2,3,0,59982,16,19.15,16213.51,3,2
24,3,2,1,584,2,4,0,3,3,20322,21,7.35,8189.05,3,3
78,2,3,2,619,2,4,0,2,1,29822,34,58.43,16666.09,3,1
58,3,2,1,600,2,3,0,1,5,56802,19,99.45,8984.09,3,1
65,1,2,1,635,0,2,2,1,5,58204,24,7.41,2750.47,2,1
34,2,1,3,730,2,3,0,3,5,51333,12,55.67,13687.77,3,2
70,0,1,1,531,1,4,2,1,0,36095,0,59.73,15805.92,2,1
62,0,3,3,693,0,3,2,1,0,15939,29,48.26,15499.94,3,1
45,3,1,2,672,2,4,2,1,0,52038,9,46.73,19586.74,2,1
80,1,1,1,746,1,3,1,2,5,43287,18,8.76,16672.83,2,1
70,2,1,3,494,0,3,0,3,1,20052,20,13.3,12827.57,2,2
57,0,2,3,704,1,1,0,3,2,62537,31,60.61,19090.93,2,1
70,2,2,1,683,1,1,1,3,5,25276,1,11.89,14612.09,1,2
80,3,3,2,601,0,3,2,3,0,48433,13,65.12,8577.48,2,3
24,0,1,2,662,1,3,0,3,1,41943,8,62.31,5781.16,2,3
37,1,1,3,613,1,3,2,2,2,16818,7,18.36,16522.44,3,2
35,2,3,3,817,2,1,1,2,1,18216,11,42.31,2358.8,1,1
46,3,3,2,680,0,1,2,2,0,47753,1,86.57,1857.38,2,1
34,0,2,1,637,1,4,2,1,5,10370,23,47.31,17404.29,2,1
50,2,3,3,644,1,1,2,2,2,40175,4,41.47,16745.58,2,3
19,0,2,3,590,0,3,0,1,4,67842,28,10.03,19019.65,2,1
66,1,2,1,677,0,3,2,2,2,7989,4,63.32,9601.46,2,3
19,0,3,3,553,0,3,1,3,2,44937,23,81.73,19779.2,2,1
